tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2019-06-21,1996-10-10,SAN MARTIN Nº 7,Buenos Aires,Nacional,1996.0,SEDAN 4 P,RENAULT,RENAULT 9,Privado,Física,BILLINGHURST,BUENOS AIRES,Masculino,1945.0,ARGENTINA,1.0,2019-09-26,97 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-11,2017-08-22,MORENO Nº 3,Buenos Aires,Protocolo 21,2017.0,SEDAN 4 P,FORD,FIESTA,Privado,Física,MORENO,BUENOS AIRES,Masculino,1971.0,PARAGUAY,1.0,2019-09-11,92 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-04,2006-05-22,JOSE C. PAZ Nº 2,Buenos Aires,Nacional,2006.0,SEDAN 4 P,RENAULT,KANGOO,Privado,Física,JOSE C.PAZ,BUENOS AIRES,Femenino,1950.0,ARGENTINA,1.0,2019-07-04,30 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-04,2016-01-05,CAPITAL FEDERAL Nº 048,Ciudad Autónoma de Bs.As.,Nacional,2016.0,SEDAN 4 P,PEUGEOT,308,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1991.0,ARGENTINA,1.0,2019-08-13,70 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-05,2010-12-29,CAPITAL FEDERAL Nº 074,Ciudad Autónoma de Bs.As.,Protocolo 21,2010.0,SEDAN 4 P,VOLKSWAGEN,FOX,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1961.0,ARGENTINA,1.0,2019-07-19,44 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-12,2012-09-04,CORDOBA Nº 03,Córdoba,Nacional,2012.0,SEDAN 4 P,PEUGEOT,308,Privado,Física,CÓRDOBA,CORDOBA,Masculino,1970.0,ARGENTINA,1.0,2019-08-06,55 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-12,1997-01-28,COSQUIN Nº 1,Córdoba,Importado,1997.0,TODO TERRENO,JEEP,CHEROKEE,Privado,Física,CORDOBA,CORDOBA,Masculino,1972.0,ARGENTINA,1.0,2019-06-28,16 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-26,2018-01-17,CORDOBA Nº 21,Córdoba,Protocolo 21,2018.0,SEDAN 4 P,TOYOTA,ETIOS,Privado,Física,CORDOBA,CORDOBA,Masculino,1958.0,ARGENTINA,1.0,2019-08-06,41 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-07,2016-09-29,CORDOBA Nº 23,Córdoba,Nacional,2016.0,SEDAN 4 P,VOLKSWAGEN,SURAN,Privado,Física,CORDOBA,CORDOBA,Masculino,1980.0,ARGENTINA,1.0,2019-08-09,63 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-12,1998-05-19,CORDOBA Nº 24,Córdoba,Nacional,1998.0,COUPE,FIAT,UNO,Privado,Física,CORDOBA,CORDOBA,Femenino,1972.0,ARGENTINA,1.0,2019-07-31,49 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-06-05,2013-09-10,SALTA Nº 6,Salta,Nacional,2013.0,SEDAN 4 P,FIAT,PALIO,Privado,Física,Bº EL TRIBUNO-SALTA,SALTA,Masculino,1967.0,ARGENTINA,1.0,2019-09-30,117 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-11,2011-02-24,FLORENCIO VARELA Nº 3,Buenos Aires,Nacional,2011.0,FURGON,PEUGEOT,PARTNER,Privado,Física,VILLA VATTEONE,BUENOS AIRES,Masculino,1973.0,ARGENTINA,1.0,2019-09-10,61 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2019-07-04,2008-10-07,SAN MARTIN Nº 6,Buenos Aires,Protocolo 21,2008.0,SEDAN 4 P,CHEVROLET,MERIVA,Privado,Física,VILLA MAIPU,BUENOS AIRES,Femenino,1938.0,ARGENTINA,1.0,2019-09-12,70 days 00:00:00.000000000
