tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-11-05,2008-02-21,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Importado,2008.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-02,2008-04-25,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Protocolo 21,2008.0,SEDAN 3 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-01,2013-10-15,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Importado,2013.0,SEDAN 4 PUERTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-12,2009-03-30,CAPITAL FEDERAL Nº 093,Ciudad Autónoma de Bs.As.,Protocolo 21,2009.0,FURGONETA,FIAT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1993.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-21,2013-12-06,CAPITAL FEDERAL Nº 096,Ciudad Autónoma de Bs.As.,Nacional,2013.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1994.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-05,2011-01-10,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Protocolo 21,2011.0,RURAL 5 PTAS,FORD,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-29,2013-06-12,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,RURAL 5 PUERTAS,FORD,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1961.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-29,2006-05-09,CAPITAL FEDERAL Nº 097,Ciudad Autónoma de Bs.As.,Importado,2006.0,SEDAN 4 PTAS,VOLKSWAGEN,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1949.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-01,2013-01-04,CAPITAL FEDERAL Nº 099,Ciudad Autónoma de Bs.As.,Protocolo 21,2013.0,SEDAN 5 PUERTAS,CHEVROLET,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1918.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-13,2009-08-14,CAPITAL FEDERAL Nº 099,Ciudad Autónoma de Bs.As.,Nacional,2009.0,PICK-UP,TOYOTA,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1918.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-16,2013-08-02,CORDOBA Nº 02,Córdoba,Protocolo 21,2013.0,SEDAN 5 PUERTAS,FIAT,Privado,Física,CORDOBA,CORDOBA,Femenino,1958.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-21,2016-08-31,CORDOBA Nº 03,Córdoba,Nacional,2016.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Física,CORDOBA,CORDOBA,Femenino,1994.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-22,2001-05-28,SAN FRANCISCO Nº 1,Córdoba,Nacional,2001.0,FURGON,PEUGEOT,Privado,Jurídica,SAN FRANCISCO,CORDOBA,No identificado,1974.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-14,2013-03-06,VILLA ALLENDE Nº 1,Córdoba,Protocolo 21,2013.0,RURAL 5 PTAS,CITROEN,Privado,Física,VILLA ALLENDE.COLON,CORDOBA,No identificado,1979.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-14,2016-07-13,VILLA ALLENDE Nº 1,Córdoba,Nacional,2016.0,PICK-UP,VOLKSWAGEN,Privado,Física,VILLA ALLENDE,CORDOBA,Masculino,1942.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-22,2015-04-30,CORDOBA Nº 13,Córdoba,Nacional,2015.0,PICK-UP,FORD,Privado,Física,CORDOBA,CORDOBA,Masculino,1993.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-23,1996-08-23,CORDOBA Nº 13,Córdoba,Importado,1996.0,PICK-UP,NISSAN,Privado,Física,CORDOBA,CORDOBA,Masculino,1943.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-12,2008-02-20,CORDOBA Nº 18,Córdoba,Protocolo 21,2008.0,SEDAN 5 PTAS,CITROEN,Privado,Física,CORDOBA,CORDOBA,Femenino,1978.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-23,2012-07-10,CORDOBA Nº 18,Córdoba,Protocolo 21,2012.0,SEDAN 5 PTAS,CHEVROLET,Privado,Jurídica,CORDOBA,CORDOBA,No identificado,1963.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-14,2007-08-31,CORDOBA Nº 23,Córdoba,Protocolo 21,2007.0,SEDAN 3 PUERTAS,FIAT,Privado,Física,CORDOBA,CORDOBA,Femenino,1959.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-27,1997-04-09,CORDOBA Nº 25,Córdoba,Nacional,2000.0,SEDAN 3 PUERTAS,VOLKSWAGEN,Privado,Física,CORDOBA,CORDOBA,Femenino,1991.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-14,2010-11-24,RAWSON,Chubut,Protocolo 21,2010.0,SEDAN 5 PTAS,CITROEN,Privado,Física,RAWSON,CHUBUT,Femenino,1982.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-16,2003-09-09,CONCEPCION DEL URUGUAY Nº 2,Entre Ríos,Nacional,2003.0,PICK-UP,FORD,Privado,Física,,ENTRE RIOS,Femenino,1973.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-14,2013-02-28,MENDOZA Nº 05,Mendoza,Protocolo 21,2013.0,SEDAN 3 PUERTAS,FORD,Privado,Física,VILLA NUEVA,MENDOZA,Femenino,1990.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-26,2009-11-11,MENDOZA Nº 09,Mendoza,Importado,2009.0,RURAL 5 PTAS,DODGE,Privado,Jurídica,CIUDAD,MENDOZA,No identificado,1948.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-07,1999-08-20,MENDOZA Nº 13,Mendoza,Nacional,1999.0,SEDAN 4 PUERTAS,CHEVROLET,Privado,Física,VISTALBA,MENDOZA,Masculino,1992.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-08,1991-10-08,NEUQUEN Nº 2,Neuquén,Nacional,1991.0,SEDAN 5 PUERTAS,RENAULT,Privado,Física,NEUQUEN,NEUQUEN,Masculino,1970.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-22,2005-07-01,PLOTTIER Nº 1,Neuquén,Protocolo 21,2005.0,PICK UP,CHEVROLET,Privado,Física,PLOTTIER,NEUQUEN,Masculino,1986.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-28,1993-01-04,NEUQUEN N° 6,Neuquén,Nacional,1993.0,SEDAN 2 PTAS,FIAT,Privado,Física,NEUQUEN,NEUQUEN,No identificado,1980.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-11-22,2016-07-19,ROSARIO Nº 10,Santa Fe,Nacional,2016.0,SEDAN 5 PUERTAS,PEUGEOT,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1959.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-29,2006-01-17,ROSARIO Nº 10,Santa Fe,Protocolo 21,2006.0,RURAL 5 PTAS,TOYOTA,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1959.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-11-13,2013-10-28,ROSARIO Nº 14,Santa Fe,Protocolo 21,2013.0,TODO TERRENO,RENAULT,Privado,Jurídica,ROSARIO,SANTA FE,No identificado,1963.0,NO IDENTIFICADO,1
